,date,article,views,comments
98,"Nov 6th 2015, 8:11 AM",AIB is going to start paying billions back to the Irish State,"25,096  Views", 159 Comments
99,"Nov 3rd 2015, 9:30 PM",9 ways Verified by Visa is ruining lives every day,"11,907  Views", 10 Comments
100,"Nov 1st 2015, 10:00 PM",What people are secretly saying about some of Ireland's biggest employers,"77,027  Views", 39 Comments
101,"Sep 3rd 2015, 11:38 AM",Here is where new branches of AIB will be opening,"22,027  Views", 14 Comments
102,"Sep 1st 2015, 6:06 PM",AIB accidentally overcharged customers €3.7 million,"37,467  Views", 36 Comments
103,"Aug 19th 2015, 10:27 AM",AIB customer? You may be due money back,"18,842  Views", 11 Comments
104,"Aug 4th 2015, 1:19 PM",The 8 most enraging things about going to the bank,"8,451  Views", 9 Comments
105,"Jul 3rd 2015, 4:24 PM",Did Noonan's warning work? More banks cut mortgage rates,"18,554  Views", 22 Comments
106,"May 29th 2015, 3:21 PM",AIB's new boss has a long year ahead of him,"15,825  Views", 45 Comments
107,"May 22nd 2015, 12:25 PM",Michael Noonan warns banks: Cut your interest rates or else...,"15,271  Views", 72 Comments
108,"May 19th 2015, 5:55 PM",Will this man finally get tough with banks if they don't drop mortgage rates?,"18,954  Views", 79 Comments
109,"May 14th 2015, 4:51 PM",'On the night of the guarantee there was an announcement and we all went home to bed',"16,218  Views", 50 Comments
110,"May 7th 2015, 6:49 PM","If the banks continue to 'gouge' mortgage-holders, maybe it's time to gouge them back...","18,861  Views", 41 Comments
111,"May 1st 2015, 7:48 AM",AIB is cutting its mortgage rates again,"16,590  Views", 29 Comments
112,"Apr 29th 2015, 3:38 PM",Former AIB chief: 'I'm very sorry ... I feel deeply disappointed every day',"19,911  Views", 58 Comments
113,"Apr 25th 2015, 7:58 AM","Over 1,000 staff at AIB are on over €100,000 a year","22,594  Views", 45 Comments
114,"Apr 23rd 2015, 1:49 PM","AIB boss: 'I did my level best, but it wasn't enough. I can never get away from that'","25,577  Views", 51 Comments
115,"Apr 22nd 2015, 5:06 PM",'We'll cut them again in a month or two' - AIB chief on mortgage rates,"13,429  Views", 26 Comments
116,"Apr 5th 2015, 7:48 PM","AIB will pay out of pocket customers back ""as soon as possible""","18,434  Views", 24 Comments
117,"Apr 4th 2015, 7:49 PM",AIB customers left out-of-pocket after mortgage interest relief screw-up,"26,049  Views", 41 Comments
118,"Apr 1st 2015, 4:42 PM",Our banks are making homeowners 'pay way over the odds',"22,332  Views", 92 Comments
119,"Mar 13th 2015, 11:23 AM","Tyrrell, Kernan, Podge, Bubbles and more: Staggering reaction to #TheToughestTrade","10,200  Views", 2 Comments
120,"Mar 13th 2015, 10:23 AM",Hurler of the Year Richie Hogan was quick off the mark on Twitter last night,"13,260  Views", 1 Comment
121,"Mar 5th 2015, 11:34 AM",AIB is finally paying out some money to taxpayers,"14,093  Views", 79 Comments
122,"Feb 25th 2015, 6:36 AM",British and American spies hacked company that makes Irish driving licences,"45,980  Views", 75 Comments
123,"Feb 23rd 2015, 6:28 PM",Happy days - there's lots of good news out there today if you own a small business,"13,698  Views", 15 Comments
124,"Feb 20th 2015, 11:59 AM",AIB are the new sponsor of the All-Ireland senior football championship,"4,516  Views", 2 Comments
125,"Feb 14th 2015, 7:45 AM",5 talking points ahead of this weekend’s AIB All-Ireland club football semi-finals,"3,383  Views", 1 Comment
126,"Jan 21st 2015, 5:10 PM",AIB has started looking for its new boss,"20,193  Views", 54 Comments
127,"Jan 15th 2015, 5:53 PM",Here's why AIB staff are warning they might go on strike,"16,737  Views", 44 Comments
128,"Jan 13th 2015, 12:30 PM",Staff told of AIB outsourcing plans at mass hotel meeting,"26,555  Views", 55 Comments
129,"Jan 9th 2015, 6:30 AM",IBRC won't say how much former Anglo directors still owe them,"6,954  Views", 17 Comments
130,"Nov 14th 2014, 10:26 PM","The Briefcase: Grilled bankers, Taylor Swift and Alibaba's treasure trove","11,112  Views", 3 Comments
131,"Nov 14th 2014, 9:04 AM",Two-thirds of first home buyers would not meet new Central Bank rules: Ulster Bank,"7,719  Views", 51 Comments
132,"Nov 13th 2014, 3:35 PM",The Viewing: Your vital round-up of property news from the week,"3,878  Views", 0 Comments
133,"Nov 13th 2014, 3:11 PM","AIB will return the €21bn taxpayers pumped into it, but don't hold your breath on when","11,686  Views", 33 Comments
134,"Nov 10th 2014, 8:53 AM",AIB is giving out more mortgages and fewer people are in arrears,"5,679  Views", 10 Comments
135,"Nov 6th 2014, 4:42 PM",The Viewing: Your vital round-up of property news from the week,"1,772  Views", 0 Comments
