Date,Meta,Amazon,Apple,Netflix,Google
19/07/2022,175.779999,118.209999,151,201.630005,114.620003
20/07/2022,183.089996,122.769997,153.039993,216.440002,114.699997
21/07/2022,183.169998,124.629997,155.350006,223.880005,115.040001
22/07/2022,169.270004,122.419998,154.089996,220.440002,108.360001
25/07/2022,166.649994,121.139999,152.949997,218.509995,108.209999
26/07/2022,159.149994,114.809998,151.600006,213.910004,105.440002
27/07/2022,169.580002,120.970001,156.789993,226.75,113.599998
28/07/2022,160.720001,122.279999,157.350006,226.020004,114.589996
29/07/2022,159.100006,134.949997,162.509995,224.899994,116.639999
01/08/2022,159.929993,135.389999,161.509995,226.210007,115.480003
02/08/2022,160.190002,134.160004,160.009995,221.419998,115.900002
03/08/2022,168.800003,139.520004,166.130005,226.729996,118.779999
04/08/2022,170.570007,142.570007,165.809998,229.910004,118.870003
05/08/2022,167.110001,140.800003,165.350006,226.779999,118.220001
08/08/2022,170.25,139.410004,164.869995,233.490005,118.139999
09/08/2022,168.529999,137.830002,164.919998,229.940002,117.5
10/08/2022,178.339996,142.690002,169.240005,244.110001,120.650002
11/08/2022,177.490005,140.639999,168.490005,242.699997,119.82
12/08/2022,180.5,143.550003,172.100006,249.300003,122.650002
15/08/2022,180.889999,143.179993,173.190002,249.110001,122.879997
16/08/2022,179.470001,144.779999,173.029999,245.690002,122.510002
17/08/2022,174.850006,142.100006,174.550003,241.149994,120.32
18/08/2022,174.660004,142.300003,174.149994,245.169998,120.860001
19/08/2022,167.960007,138.229996,171.520004,241.160004,118.120003
22/08/2022,163.050003,133.220001,167.570007,226.539993,115.07
23/08/2022,161.110001,133.619995,167.229996,224.550003,114.769997
24/08/2022,163.259995,133.800003,167.529999,229.610001,114.699997
25/08/2022,168.779999,137.279999,170.029999,233.979996,117.699997
26/08/2022,161.779999,130.75,163.619995,223.279999,111.300003
29/08/2022,159.169998,129.789993,161.380005,224.570007,110.339996
30/08/2022,157.160004,128.729996,158.910004,220.649994,109.910004
31/08/2022,162.929993,126.769997,157.220001,223.559998,109.150002
01/09/2022,165.360001,127.82,157.960007,230.039993,110.550003
02/09/2022,160.320007,127.510002,155.809998,226.110001,108.68
06/09/2022,158.539993,126.110001,154.529999,218.389999,107.480003
07/09/2022,160.389999,129.479996,155.960007,228.960007,110.480003
08/09/2022,162.059998,129.820007,154.460007,227.440002,109.419998
09/09/2022,169.149994,133.270004,157.369995,233.570007,111.779999
12/09/2022,168.960007,136.449997,163.429993,236.529999,111.870003
13/09/2022,153.130005,126.82,153.839996,218.130005,105.309998
14/09/2022,151.470001,128.550003,155.309998,224.119995,105.870003
15/09/2022,149.550003,126.279999,152.369995,235.380005,null
16/09/2022,146.289993,123.529999,150.699997,240.130005,103.629997
