Date,Age,Volume
17/05/2020,Aged25to34,3993
17/05/2020,Aged35to44,4187
17/05/2020,Aged45to54,4303
17/05/2020,Aged55to64,3084
18/05/2020,Aged1to4,131
18/05/2020,Aged5to14,269
18/05/2020,Aged15to24,1716
18/05/2020,Aged25to34,4021
18/05/2020,Aged35to44,4203
18/05/2020,Aged45to54,4313
18/05/2020,Aged55to64,3088
19/05/2020,Aged1to4,133
19/05/2020,Aged5to14,274
19/05/2020,Aged15to24,1739
19/05/2020,Aged25to34,4045
19/05/2020,Aged35to44,4232
19/05/2020,Aged45to54,4330
19/05/2020,Aged55to64,3103
20/05/2020,Aged1to4,134
20/05/2020,Aged5to14,276
20/05/2020,Aged15to24,1744
20/05/2020,Aged25to34,4049
20/05/2020,Aged35to44,4242
20/05/2020,Aged45to54,4338
20/05/2020,Aged55to64,3107
21/05/2020,Aged1to4,136
21/05/2020,Aged5to14,277
21/05/2020,Aged15to24,1755
21/05/2020,Aged25to34,4063
21/05/2020,Aged35to44,4256
21/05/2020,Aged45to54,4349
21/05/2020,Aged55to64,3113
22/05/2020,Aged1to4,136
22/05/2020,Aged5to14,280
22/05/2020,Aged15to24,1758
22/05/2020,Aged25to34,4073
22/05/2020,Aged35to44,4272
22/05/2020,Aged45to54,4357
22/05/2020,Aged55to64,3125
23/05/2020,Aged1to4,140
23/05/2020,Aged5to14,287
23/05/2020,Aged15to24,1764
23/05/2020,Aged25to34,4090
23/05/2020,Aged35to44,4288
23/05/2020,Aged45to54,4378
23/05/2020,Aged55to64,3129
24/05/2020,Aged1to4,144
24/05/2020,Aged5to14,290
24/05/2020,Aged15to24,1786
24/05/2020,Aged25to34,4114
24/05/2020,Aged35to44,4309
24/05/2020,Aged45to54,4392
24/05/2020,Aged55to64,3141
25/05/2020,Aged1to4,145
25/05/2020,Aged5to14,291
25/05/2020,Aged15to24,1792
25/05/2020,Aged25to34,4119
25/05/2020,Aged35to44,4320
25/05/2020,Aged45to54,4397
25/05/2020,Aged55to64,3144
26/05/2020,Aged1to4,146
26/05/2020,Aged5to14,293
26/05/2020,Aged15to24,1797
26/05/2020,Aged25to34,4122
26/05/2020,Aged35to44,4323
26/05/2020,Aged45to54,4408
26/05/2020,Aged55to64,3149
27/05/2020,Aged1to4,147
27/05/2020,Aged5to14,296
27/05/2020,Aged15to24,1805
27/05/2020,Aged25to34,4145
27/05/2020,Aged35to44,4336
27/05/2020,Aged45to54,4426
27/05/2020,Aged55to64,3167
28/05/2020,Aged1to4,149
28/05/2020,Aged5to14,303
28/05/2020,Aged15to24,1813
28/05/2020,Aged25to34,4152
28/05/2020,Aged35to44,4351
28/05/2020,Aged45to54,4435
28/05/2020,Aged55to64,3174
29/05/2020,Aged1to4,150
29/05/2020,Aged5to14,304
29/05/2020,Aged15to24,1816
29/05/2020,Aged25to34,4159
29/05/2020,Aged35to44,4358
29/05/2020,Aged45to54,4443
29/05/2020,Aged55to64,3178
30/05/2020,Aged1to4,152
30/05/2020,Aged5to14,306
30/05/2020,Aged15to24,1816
30/05/2020,Aged25to34,4161
30/05/2020,Aged35to44,4364
30/05/2020,Aged45to54,4451
30/05/2020,Aged55to64,3183
31/05/2020,Aged1to4,152
31/05/2020,Aged5to14,307
31/05/2020,Aged15to24,1818
31/05/2020,Aged25to34,4170
31/05/2020,Aged35to44,4376
31/05/2020,Aged45to54,4459
31/05/2020,Aged55to64,3186
01/06/2020,Aged1to4,153
01/06/2020,Aged5to14,308
01/06/2020,Aged15to24,1825
01/06/2020,Aged25to34,4182
01/06/2020,Aged35to44,4391
01/06/2020,Aged45to54,4472
01/06/2020,Aged55to64,3193
02/06/2020,Aged1to4,155
02/06/2020,Aged5to14,316
02/06/2020,Aged15to24,1837
02/06/2020,Aged25to34,4192
02/06/2020,Aged35to44,4399
02/06/2020,Aged45to54,4486
02/06/2020,Aged55to64,3202
03/06/2020,Aged1to4,155
03/06/2020,Aged5to14,316
03/06/2020,Aged15to24,1838
03/06/2020,Aged25to34,4194
03/06/2020,Aged35to44,4399
03/06/2020,Aged45to54,4487
03/06/2020,Aged55to64,3202
04/06/2020,Aged1to4,155
04/06/2020,Aged5to14,318
04/06/2020,Aged15to24,1839
04/06/2020,Aged25to34,4196
04/06/2020,Aged35to44,4408
04/06/2020,Aged45to54,4495
04/06/2020,Aged55to64,3210
05/06/2020,Aged1to4,157
05/06/2020,Aged5to14,318
05/06/2020,Aged15to24,1844
05/06/2020,Aged25to34,4201
05/06/2020,Aged35to44,4415
05/06/2020,Aged45to54,4506
05/06/2020,Aged55to64,3215
06/06/2020,Aged1to4,160
06/06/2020,Aged5to14,320
06/06/2020,Aged15to24,1848
06/06/2020,Aged25to34,4205
06/06/2020,Aged35to44,4417
06/06/2020,Aged45to54,4509
06/06/2020,Aged55to64,3216
07/06/2020,Aged1to4,160
07/06/2020,Aged5to14,320
07/06/2020,Aged15to24,1852
07/06/2020,Aged25to34,4210
07/06/2020,Aged35to44,4421
07/06/2020,Aged45to54,4513
07/06/2020,Aged55to64,3217
08/06/2020,Aged1to4,160
08/06/2020,Aged5to14,320
08/06/2020,Aged15to24,1858
08/06/2020,Aged25to34,4213
08/06/2020,Aged35to44,4425
08/06/2020,Aged45to54,4518
08/06/2020,Aged55to64,3219
09/06/2020,Aged1to4,160
09/06/2020,Aged5to14,320
09/06/2020,Aged15to24,1858
09/06/2020,Aged25to34,4215
09/06/2020,Aged35to44,4428
09/06/2020,Aged45to54,4521
09/06/2020,Aged55to64,3219
10/06/2020,Aged1to4,160
10/06/2020,Aged5to14,320
10/06/2020,Aged15to24,1860
10/06/2020,Aged25to34,4215
10/06/2020,Aged35to44,4429
10/06/2020,Aged45to54,4523
10/06/2020,Aged55to64,3222
